Blog	too	post	take	to	know	work	are	have	ve	all	while	way	get	m	of	many	ever	show	but	an	some	right	not	much	more	is	since	at	money	online	how	which	two	its	on	don	has	and	here	when	old	time	people	after	year	this	other	read	today	good	who	than	had	one	could	can	big	he	would	as	up	her	back	your	may	i	day	do	just	years	make	use	what	for	used	these	video	re	why	google	because	it	we	from	no	my	still	been	they	us	most	t	were	see	even	by	s	go	story	also	new	our	off	into	now	was	world	about	free	over	best	won	first	out	last	she	apple	well	in	around	d	you	or	any	like	their	me	will	a	so	that	with	there	if	his	made	be	week	the	them	only
Kotaku	0	1	2	24	0	0	7	3	1	1	0	1	1	0	30	1	1	0	4	4	2	1	1	2	28	10	0	2	0	0	0	1	2	3	16	1	0	28	2	1	0	3	1	2	0	7	1	23	6	1	3	2	2	3	0	1	1	6	4	2	4	0	3	5	0	3	5	2	3	0	0	0	3	12	0	1	1	1	0	0	1	9	3	6	1	2	1	2	1	0	1	5	2	1	1	6	24	0	0	2	7	2	3	2	1	5	0	1	0	4	6	1	0	3	2	4	0	0	7	2	0	11	2	1	2	4	0	1	34	1	11	6	5	5	3	0	4	3	53	2	0
The Full Feed from HuffingtonPost.com	0	2	1	20	1	0	2	6	1	1	0	0	1	1	15	0	0	0	4	1	1	0	2	0	24	6	0	3	0	0	0	0	0	2	19	2	1	16	0	0	0	1	0	2	1	4	1	10	0	2	4	2	4	2	4	3	0	2	1	5	0	0	3	0	0	1	0	1	1	1	0	0	4	5	0	0	0	2	0	0	0	5	1	3	0	0	0	3	2	0	3	5	7	1	2	1	17	0	0	1	1	0	1	1	1	6	0	2	0	0	0	2	6	0	0	1	0	0	28	1	5	5	2	2	3	1	0	1	17	2	4	0	0	3	5	4	0	0	48	0	0
Neil Gaiman's Journal	19	6	11	377	11	22	65	66	31	49	10	8	33	61	302	15	9	6	47	39	35	10	61	23	33	142	5	55	18	3	20	31	23	5	128	12	20	615	37	24	11	34	44	12	43	80	17	27	3	24	48	12	42	42	21	44	6	50	38	52	36	12	23	25	9	434	13	40	22	22	24	0	36	146	3	14	7	12	4	2	34	222	53	62	11	81	11	27	48	22	9	53	22	19	30	71	164	23	8	11	40	8	10	14	28	110	16	46	4	21	7	5	21	54	21	11	1	9	204	7	23	178	62	12	42	19	64	58	320	61	153	82	58	62	31	14	104	7	660	43	22
Derek Powazek	2	3	1	52	6	3	11	3	11	10	1	0	6	12	39	1	1	3	14	5	3	4	6	1	6	17	1	7	3	2	7	2	9	1	14	4	5	70	6	11	2	4	2	4	4	9	3	0	2	1	1	2	3	13	1	8	1	5	0	10	11	9	2	6	0	69	2	7	11	5	1	0	9	33	1	2	0	7	1	0	3	39	7	5	2	22	4	8	6	4	2	10	2	3	1	5	43	4	3	2	5	3	1	4	10	13	3	9	0	5	1	0	3	9	7	7	0	2	35	1	2	19	5	0	9	4	15	5	62	7	19	17	7	9	3	2	7	3	97	2	1
ShoeMoney	1	0	2	41	2	3	15	8	1	1	1	3	4	3	21	1	1	2	11	5	5	2	6	1	7	21	0	2	3	3	9	0	0	3	7	0	1	24	14	3	0	5	0	2	4	3	1	1	1	1	2	2	0	5	1	7	4	2	3	6	3	0	1	11	2	8	0	3	2	1	0	0	13	8	0	2	0	5	8	0	1	9	8	4	0	0	3	2	5	4	2	4	0	0	3	1	24	0	4	0	3	8	0	5	3	2	4	6	0	3	1	0	1	3	0	0	0	0	18	1	0	25	5	0	2	3	1	6	25	5	6	10	0	3	1	0	4	0	60	5	2
NewsBusters	4	3	1	100	1	0	10	9	1	5	5	1	7	3	99	2	2	5	6	14	6	1	9	3	6	20	2	22	3	1	3	5	3	4	44	3	10	57	0	6	3	3	12	5	6	14	2	0	3	3	5	5	4	10	2	3	5	6	5	23	6	5	1	0	1	5	12	1	6	0	2	3	3	38	4	2	1	3	0	0	2	17	9	8	2	0	2	2	11	3	4	14	6	0	2	19	88	1	2	2	14	3	3	6	3	8	6	17	2	11	0	1	5	5	6	1	0	1	54	3	3	5	3	3	11	9	0	1	81	6	50	24	3	6	11	5	5	4	193	5	1
mezzoblue	1	0	1	9	0	0	0	1	6	1	1	2	0	1	10	0	1	0	4	1	1	1	2	1	0	3	0	0	0	0	2	1	0	1	6	0	1	4	1	2	1	0	0	0	0	4	0	0	2	0	0	0	0	2	0	1	0	0	0	4	0	0	1	0	0	12	0	0	1	3	2	1	1	2	1	1	1	1	0	0	0	6	0	2	1	3	1	3	0	0	1	4	0	0	0	0	6	0	0	1	3	1	0	1	1	1	0	1	2	4	0	2	1	2	0	0	0	1	2	0	1	6	1	1	0	0	2	1	19	1	6	5	0	2	0	0	1	0	18	2	0
Joel on Software	0	0	0	7	2	0	4	2	1	0	0	0	0	3	3	0	0	0	0	0	1	0	1	0	13	4	3	1	0	0	1	0	0	0	4	0	0	3	1	0	0	2	1	1	2	2	0	10	1	0	0	1	0	2	0	0	0	0	0	0	1	0	0	1	1	6	0	2	0	2	0	0	2	7	0	1	1	2	0	0	0	4	4	1	0	2	0	2	0	0	0	0	0	0	1	0	6	0	0	0	7	0	0	0	1	4	0	2	0	0	0	0	1	0	3	0	0	1	2	0	0	2	0	1	0	0	1	0	9	0	3	1	2	2	0	0	1	1	10	1	0
Steve Pavlina	0	20	0	46	4	0	8	6	8	0	0	0	3	5	23	3	1	1	1	5	3	0	1	1	2	20	2	2	0	5	14	2	1	0	30	2	2	26	1	5	0	8	24	1	4	15	1	0	4	0	1	2	0	4	1	5	9	5	0	1	4	0	0	10	1	32	2	7	4	0	0	2	3	43	2	0	11	1	1	0	1	16	9	4	2	14	0	3	2	0	1	4	0	2	2	1	12	0	0	0	7	6	1	4	3	3	0	6	9	1	0	1	22	0	3	0	0	4	25	0	3	21	9	1	4	1	1	1	32	4	16	4	1	7	3	0	4	1	60	2	2
O'Reilly Radar	0	0	0	13	0	0	2	0	0	6	0	1	0	0	10	2	0	0	1	3	0	1	0	0	0	10	0	2	0	0	0	0	0	0	2	0	4	6	0	0	0	0	1	2	0	3	0	0	0	0	1	0	1	0	2	1	0	0	0	1	1	0	0	0	7	0	0	1	0	0	0	0	1	3	2	1	0	3	0	0	1	7	2	6	3	1	0	0	1	0	2	0	1	0	0	1	7	1	2	0	3	0	0	1	2	0	0	0	1	0	0	0	0	0	0	1	2	0	4	1	1	3	1	0	1	2	2	1	8	0	10	2	1	1	0	0	0	0	22	0	1
plasticbag.org	1	1	2	15	2	0	4	3	3	6	1	1	5	0	18	2	1	0	1	0	6	1	0	1	10	0	0	6	0	1	1	3	0	1	11	1	1	15	1	0	0	3	4	0	1	3	0	6	0	0	1	0	1	2	3	1	0	1	0	5	2	0	0	1	0	16	1	1	0	2	0	0	0	10	0	2	0	2	0	0	0	11	4	2	0	3	0	2	1	2	2	5	0	0	0	1	7	0	1	0	2	0	0	1	1	3	0	4	0	2	0	0	0	1	3	0	1	0	8	0	1	3	1	1	2	0	1	2	13	1	3	6	2	1	1	1	5	0	25	3	0
Schneier on Security	0	1	0	15	0	0	3	5	3	1	0	0	0	0	9	0	0	0	3	7	2	0	1	2	3	12	0	2	0	0	0	1	1	1	4	0	3	8	2	1	0	1	1	1	1	7	1	1	0	0	1	2	0	1	0	4	0	0	0	2	1	0	0	0	0	3	0	0	1	0	0	3	1	4	2	0	0	0	0	0	2	6	1	3	4	1	0	2	4	3	0	3	1	0	1	3	2	0	2	1	1	0	1	1	2	3	0	2	0	2	0	0	2	0	1	0	0	0	10	0	0	1	1	2	0	0	1	0	13	0	8	2	1	0	0	0	1	0	31	2	1
Guy Kawasaki	2	12	0	26	0	1	8	2	0	2	0	0	0	4	14	1	0	0	1	2	0	0	2	0	1	7	0	3	2	2	10	0	3	0	12	0	1	19	1	2	0	1	2	0	0	4	1	0	0	1	2	2	0	0	0	0	0	1	0	1	1	0	0	3	2	8	3	6	0	0	0	1	0	8	1	1	0	1	4	0	3	8	0	3	0	3	0	0	4	0	2	3	3	1	0	2	11	0	0	2	0	0	0	1	0	1	0	2	0	0	0	0	10	0	0	0	0	0	9	0	1	6	3	1	3	3	1	1	29	3	6	3	6	3	0	0	1	0	38	1	2
blog maverick	0	0	1	17	1	0	6	6	0	2	1	0	1	1	15	0	0	0	2	1	3	2	5	0	2	12	0	1	3	0	1	1	0	0	12	2	1	11	0	3	0	2	1	0	2	5	1	0	0	0	1	4	1	3	0	1	0	1	1	1	1	0	2	1	2	11	2	3	0	0	0	1	2	6	0	0	0	0	1	0	0	8	8	3	3	4	0	2	0	3	1	4	2	0	2	4	2	3	0	0	1	3	0	2	1	3	0	2	1	0	0	0	0	2	0	0	3	0	11	0	0	5	4	1	2	1	2	1	21	0	10	2	4	2	0	0	2	2	37	1	0
Slashdot	1	1	1	84	2	0	14	12	4	8	2	2	2	0	80	4	3	0	17	8	2	2	11	3	17	26	4	27	2	2	4	5	2	13	22	0	20	66	0	2	2	2	2	4	2	25	1	15	1	2	6	2	7	5	7	8	1	2	6	18	4	0	0	1	0	2	0	3	1	2	1	1	4	31	3	4	0	2	3	13	1	26	4	21	1	0	0	7	10	2	2	8	6	4	2	10	37	1	15	9	10	4	1	4	9	10	4	7	1	9	2	2	5	4	4	0	5	1	64	2	0	4	12	3	5	15	0	6	86	4	40	12	3	6	3	0	12	5	172	3	3
Google Blogoscoped	2	2	1	36	2	1	6	5	4	5	1	1	5	2	34	0	0	1	10	5	3	1	5	4	4	10	0	7	0	1	5	5	3	1	17	4	1	40	2	4	0	4	3	0	0	7	4	2	1	0	5	1	3	13	1	10	0	2	11	12	3	0	3	8	1	18	3	3	6	1	3	3	6	16	2	1	0	5	0	28	5	14	12	7	6	7	0	4	7	1	3	11	1	4	4	4	15	1	0	2	8	3	0	3	4	6	1	9	2	1	4	0	2	2	0	0	0	2	23	2	2	36	7	3	6	4	4	1	43	7	13	6	5	8	1	2	4	0	71	4	2
Lifehacker	0	0	2	25	1	3	4	8	2	0	2	1	2	1	27	2	1	0	9	7	4	2	4	3	30	7	1	3	1	0	5	1	1	6	15	3	1	34	3	5	0	4	2	2	1	3	2	25	2	2	2	3	1	1	0	9	2	2	0	9	5	3	1	15	1	13	4	3	3	2	2	1	3	15	0	2	0	4	0	6	0	24	6	8	1	7	1	1	2	3	1	14	1	1	3	4	33	4	0	0	7	2	3	3	5	9	0	2	3	2	4	4	4	7	3	2	2	0	18	2	0	22	5	2	3	4	1	3	41	4	11	6	3	10	2	1	7	0	53	2	2
Techdirt.	19	8	15	670	15	20	68	87	14	60	21	24	15	12	568	25	4	4	80	66	30	35	99	23	61	232	7	94	5	17	40	47	17	56	150	11	57	493	15	35	8	23	25	17	21	146	40	7	7	12	46	31	45	45	28	62	2	56	42	161	42	2	24	19	20	112	8	36	45	40	30	15	51	185	8	34	9	14	8	7	26	263	87	85	34	28	15	44	69	39	14	90	39	21	33	93	267	7	26	32	36	48	11	33	27	120	23	74	10	33	10	6	35	29	20	5	2	25	306	8	21	66	120	30	31	53	17	34	431	48	335	138	33	50	47	11	135	11	1221	25	25
Autoblog	1	0	0	39	4	0	5	5	0	7	0	0	3	0	68	0	9	24	6	3	0	2	12	0	9	18	0	19	0	0	1	0	1	14	84	0	9	27	2	1	0	1	0	1	1	44	1	0	0	1	2	9	0	3	3	3	4	1	1	1	8	0	0	0	1	1	0	0	8	3	1	39	0	63	3	3	5	3	0	0	0	11	1	0	3	0	4	1	2	1	1	10	0	39	3	1	31	3	0	0	28	40	13	0	3	2	4	3	0	3	1	2	12	4	0	0	0	7	40	1	3	11	4	0	1	3	0	13	38	5	4	10	2	2	1	3	13	0	73	4	0
Seth Godin's Blog on marketing, tribes and respect	0	0	1	19	0	3	3	0	3	2	0	0	0	0	11	0	0	2	4	1	0	0	0	0	1	8	0	2	0	0	0	0	1	0	1	0	1	12	1	4	2	2	3	0	0	2	0	0	0	0	0	0	0	1	0	4	0	1	0	1	2	0	0	4	0	1	0	1	1	1	2	0	5	6	2	0	0	4	3	0	1	7	3	1	4	1	0	0	2	3	0	6	0	0	0	1	8	1	0	0	4	2	0	0	0	1	0	2	0	1	0	0	0	4	0	0	0	1	5	0	1	12	2	1	1	0	0	1	13	2	6	4	2	1	0	0	4	0	27	1	0
Oilman	2	1	1	15	1	0	1	3	2	1	0	2	1	1	9	2	0	1	1	0	3	0	1	3	2	6	0	2	0	2	3	0	0	0	3	2	1	14	0	0	1	1	4	0	1	5	0	0	1	1	0	0	2	2	1	0	0	0	2	4	3	0	1	0	0	22	0	0	2	1	0	2	4	3	0	0	0	3	2	1	0	14	4	1	1	6	0	2	1	0	1	3	1	2	0	3	6	0	1	1	3	1	1	1	2	1	0	2	0	1	0	0	0	1	1	0	0	1	8	1	0	4	2	1	3	1	4	0	13	4	3	0	0	2	0	0	1	1	16	0	1
ProBlogger	0	20	0	70	0	3	0	3	4	3	1	0	5	4	33	0	0	1	0	0	0	0	1	0	24	7	1	5	0	3	16	1	5	0	29	0	1	44	1	2	0	3	1	2	9	4	0	1	12	0	2	1	0	12	3	2	1	0	0	0	1	16	1	29	1	19	3	3	0	5	0	0	0	14	0	2	0	8	2	0	0	9	12	24	0	4	2	3	3	4	2	0	0	0	1	2	14	2	16	0	10	17	2	0	0	1	1	6	1	18	0	0	21	2	4	1	0	0	29	1	0	36	6	0	0	9	4	0	66	3	4	9	0	4	6	1	3	0	64	1	0
ongoing by Tim Bray	2	1	1	29	2	1	4	4	4	5	3	3	2	4	41	1	0	1	12	10	13	1	4	3	2	30	0	3	0	0	1	4	2	1	8	3	5	39	5	0	1	6	0	0	2	8	0	0	2	2	5	2	3	5	1	4	3	4	3	4	4	3	5	1	3	30	14	3	2	1	0	1	2	16	0	1	3	14	0	0	0	23	9	10	4	3	2	3	5	0	5	5	1	0	2	11	39	3	0	0	3	1	3	0	5	9	0	5	0	0	2	0	5	4	1	2	0	2	29	3	1	12	6	4	3	1	5	1	57	6	20	14	4	5	7	1	13	0	57	1	0
Lifehack	1	12	0	19	1	0	3	1	1	1	0	4	4	0	4	1	0	0	0	0	2	1	0	2	2	6	0	1	0	0	3	0	0	1	14	0	0	12	1	2	0	0	3	0	0	4	0	0	0	2	0	2	2	3	0	3	0	1	0	4	1	2	0	3	0	1	11	4	1	1	2	0	2	11	0	0	0	0	5	0	0	2	3	2	1	0	0	0	2	1	1	0	1	0	0	2	14	0	0	0	2	1	0	0	0	0	1	0	4	2	5	0	12	3	0	0	0	0	2	0	0	8	0	0	0	1	0	3	16	1	8	5	0	1	0	0	2	0	33	2	2
PerezHilton	1	0	0	15	0	2	3	2	1	1	2	0	0	0	12	0	2	1	3	2	1	0	2	0	2	12	1	2	0	0	2	2	0	0	12	0	2	11	3	2	0	1	2	6	2	6	0	0	0	0	5	0	1	1	1	0	0	2	0	3	2	13	1	0	1	0	0	0	2	1	0	0	0	6	0	1	1	1	1	0	0	4	4	3	4	0	1	1	3	1	0	1	1	0	2	1	18	1	2	0	0	0	1	0	0	8	1	4	0	2	0	0	0	2	0	9	0	1	8	0	0	0	2	1	0	1	1	0	10	1	1	7	4	0	3	1	2	0	30	1	0
Matt Cutts: Gadgets, Google, and SEO	1	0	1	14	1	2	3	2	4	0	0	1	3	0	18	1	0	0	3	2	3	0	1	1	2	0	0	2	4	0	0	0	0	0	5	0	3	10	1	1	0	1	4	1	4	3	0	1	1	1	1	0	0	3	1	2	0	4	1	3	0	0	0	2	0	23	3	1	3	2	2	0	1	8	0	1	0	2	0	7	1	5	2	4	0	7	1	2	2	6	0	4	0	1	0	0	7	2	0	2	0	0	1	0	2	6	2	9	0	2	0	0	0	1	4	0	0	0	3	1	1	9	1	0	2	2	1	0	24	2	17	8	0	1	0	0	0	1	27	2	0
